from,to,type,weight
257912371,7403862,tw,1.0
7833122,14562685,tw,1.0
7833122,14831475,tw,1.0
66998204,25820473,tw,1.0
1091325763943612416,14290699,tw,1.0
3131243261,14562685,tw,1.0
151395064,7403862,tw,1.0
2975134426,14562685,tw,1.0
417856150,32835701,tw,1.0
4876080779,14290699,tw,1.0
19626301,7403862,tw,1.0
4338452835,14562685,tw,1.0
513498057,3068789388,tw,1.0
83567424,67710876,tw,1.0
555031989,14562685,tw,1.0
15096261,13779282,tw,1.0
15096261,1337150378,tw,1.0
15096261,4155531,tw,1.0
15096261,7403862,tw,1.0
16143105,279220669,tw,1.0
16143105,1358617603590086657,tw,1.0
16143105,563123174,tw,1.0
16143105,1443780630,tw,1.0
2711212681,14562685,tw,1.0
2711212681,7389732,tw,1.0
3429955204,14562685,tw,1.0
3429955204,76347918,tw,1.0
22756947,14562685,tw,1.0
839338759330152453,14562685,tw,1.0
839338759330152453,4334071758,tw,1.0
846014785246367745,14562685,tw,1.0
1014861853338398720,14562685,tw,1.0
705539763349164032,14562685,tw,1.0
325029776,7403862,tw,1.0
3251759104,7403862,tw,1.0
119160803,7403862,tw,1.0
875122621,14562685,tw,1.0
875122621,7389732,tw,1.0
513498057,1181539812739866624,sim,0.7685969586926923
19021197,14813,sim,0.4370355007182922
19021197,943967482619895808,sim,0.4176756416429706
19021197,14727078,sim,0.4659468339358902
19021197,81097544,sim,0.5005538366305179
19021197,15096261,sim,0.439333991659507
19021197,2982660196,sim,0.4703458026112961
19021197,1158382346309197826,sim,0.477490785182294
19021197,114463650,sim,0.33978818993240134
19021197,775280798891114496,sim,0.4386527640313213
19021197,293245682,sim,0.4874564082800755
19021197,105845892,sim,0.37876640131825384
19021197,159190687,sim,0.37574821862497254
19021197,1278692356980703233,sim,0.46289551988543903
19021197,413271829,sim,0.443495345860367
19021197,14138796,sim,0.35192427170480606
22756947,507356334,sim,0.4118595246344295
218144880,19305645,sim,0.41665035631691183
325029776,1266731634,sim,0.612981324902046
242488617,14813,sim,0.42564277324915245
242488617,943967482619895808,sim,0.3368982953880593
242488617,14727078,sim,0.47465150593710503
242488617,81097544,sim,0.3813105158292453
242488617,15096261,sim,0.4101302990553412
242488617,2982660196,sim,0.4407868984756626
242488617,151395064,sim,0.3418052539492206
242488617,1158382346309197826,sim,0.37100018550013913
242488617,775280798891114496,sim,0.35753744473096594
242488617,293245682,sim,0.39697330137117914
242488617,105845892,sim,0.33235531836147325
242488617,1278692356980703233,sim,0.4214567604430182
242488617,413271829,sim,0.3314641094287857
242488617,14138796,sim,0.3589404063261013
1316802123644850176,2293370286,sim,0.35007832998566546
1316802123644850176,720474368,sim,0.474332355301605
1316802123644850176,81097544,sim,0.3284056950390753
1316802123644850176,20180686,sim,0.8068477295429056
1316802123644850176,105845892,sim,0.43837918939672565
620214322,1321078181072379907,sim,0.4272816618949027
620214322,152030226,sim,0.4301476352172099
1014861853338398720,2711212681,sim,0.42399425348988207
1014861853338398720,2975134426,sim,0.41640364239174055
1014861853338398720,3131243261,sim,0.36238929440373585
1014861853338398720,839338759330152453,sim,0.3921655029891624
1014861853338398720,705539763349164032,sim,0.34408395528948776
1014861853338398720,875122621,sim,0.4433853806629709
837772065285419008,17899109,sim,0.5935204306998036
24531209,14813,sim,0.3718188150651904
24531209,943967482619895808,sim,0.35008718256403937
24531209,14727078,sim,0.38816939908911213
24531209,81097544,sim,0.39589756342885407
24531209,15096261,sim,0.37076360168960276
24531209,2982660196,sim,0.401840777971981
24531209,1158382346309197826,sim,0.3682316871381992
24531209,114463650,sim,0.3468966849301779
24531209,775280798891114496,sim,0.3829018112729637
24531209,293245682,sim,0.39344530855829335
24531209,105845892,sim,0.34536451437570365
24531209,1278692356980703233,sim,0.38111269859767055
24531209,14138796,sim,0.3332558553941296
14813,2293370286,sim,0.40175303186009614
14813,4121263167,sim,0.4451859565957616
14813,943967482619895808,sim,0.7642781298093442
14813,14727078,sim,0.8687830998478587
14813,926288949798211590,sim,0.35188691095184615
14813,420609926,sim,0.4271543449225384
14813,1246407354905739265,sim,0.4924608306923476
14813,81097544,sim,0.8383491801561911
14813,15096261,sim,0.8274103984120712
14813,2160485952,sim,0.45315736281133984
14813,2982660196,sim,0.8685497779315321
14813,1158382346309197826,sim,0.8160882391178349
14813,114463650,sim,0.6333471813517733
14813,775280798891114496,sim,0.802022871400279
14813,4436094861,sim,0.4209154852872959
14813,293245682,sim,0.839216118725605
14813,1469421637,sim,0.4591099014387918
14813,534255106,sim,0.39451261792086023
14813,105845892,sim,0.7106207816924637
14813,14321293,sim,0.5190133946139609
14813,159190687,sim,0.6832113366678181
14813,15376357,sim,0.5472340295855308
14813,725622293402124289,sim,0.4490883787186136
14813,1278692356980703233,sim,0.8192463418605536
14813,413271829,sim,0.682074147859199
14813,11333892,sim,0.3575020638769223
14813,632036332,sim,0.4718370269158818
14813,14138796,sim,0.7152238961029194
14224719,1168968080690749441,sim,0.39396421882112603
14564172,41765653,sim,0.6017501267123124
730354615716175872,969173723457695744,sim,0.5735349609495741
730354615716175872,520860243,sim,0.9346663468535212
730354615716175872,252618624,sim,0.9075363278246951
14056108,178798604,sim,0.9323520064036381
14056108,872260459,sim,0.45794666705790577
14056108,149120416,sim,0.5885004916541916
14056108,455851774,sim,0.5119089473272032
14056108,14465315,sim,0.6744191765774616
4876080779,1091325763943612416,sim,0.33295649137618244
4876080779,1088089771631669248,sim,0.3720446693716678
4876080779,27629414,sim,0.3450483423777826
119675804,872260459,sim,0.32341098403086965
2293370286,943967482619895808,sim,0.40541711818508736
2293370286,14727078,sim,0.4399305541378083
2293370286,81097544,sim,0.48249387978246333
2293370286,15096261,sim,0.3908601876339838
2293370286,2982660196,sim,0.46603418183089196
2293370286,1158382346309197826,sim,0.41645734621421066
2293370286,114463650,sim,0.33695811909876827
2293370286,775280798891114496,sim,0.42577857491990606
2293370286,293245682,sim,0.4420304286585392
2293370286,105845892,sim,0.4361505014259889
2293370286,159190687,sim,0.3706300579639224
2293370286,1278692356980703233,sim,0.41933875520215086
2293370286,413271829,sim,0.3398125942229993
2293370286,14138796,sim,0.3607285088112874
19626301,15438912,sim,0.8303535880927436
66998204,224557597,sim,0.4583826630575448
66998204,18251689,sim,0.6046018968289331
21208792,507356334,sim,0.35579490601709896
4121263167,943967482619895808,sim,0.4579431746445536
4121263167,14727078,sim,0.48844254549139726
4121263167,81097544,sim,0.5054473486583021
4121263167,15096261,sim,0.4379385124220395
4121263167,54967941,sim,0.3739028837377161
4121263167,2982660196,sim,0.49753745509397057
4121263167,1158382346309197826,sim,0.473159667352376
4121263167,114463650,sim,0.36470536305264073
4121263167,775280798891114496,sim,0.47767095363277134
4121263167,293245682,sim,0.4813043377523575
4121263167,105845892,sim,0.5146969587835588
4121263167,159190687,sim,0.3981684751885897
4121263167,1278692356980703233,sim,0.4674830676961331
4121263167,413271829,sim,0.3751861322292053
4121263167,14138796,sim,0.3793350456474331
720474368,20180686,sim,0.45160695473196344
1091325763943612416,27629414,sim,0.3375642762346724
943967482619895808,14727078,sim,0.8226257434745299
943967482619895808,926288949798211590,sim,0.3635493649341302
943967482619895808,420609926,sim,0.4128349861526213
943967482619895808,1246407354905739265,sim,0.5258506763957695
943967482619895808,81097544,sim,0.8626583972565521
943967482619895808,15096261,sim,0.7858484885608097
943967482619895808,2160485952,sim,0.3960401092169513
943967482619895808,2982660196,sim,0.8406890801174169
943967482619895808,1158382346309197826,sim,0.8164271765721661
943967482619895808,114463650,sim,0.6159789041621607
943967482619895808,775280798891114496,sim,0.8410098180364369
943967482619895808,4436094861,sim,0.4192349473175845
943967482619895808,293245682,sim,0.8429483470403827
943967482619895808,1469421637,sim,0.43537928949978605
943967482619895808,105845892,sim,0.6837840911050993
943967482619895808,14321293,sim,0.4853410668954047
943967482619895808,159190687,sim,0.694329764240521
943967482619895808,15376357,sim,0.5294475329670935
943967482619895808,725622293402124289,sim,0.423764972578123
943967482619895808,1278692356980703233,sim,0.8001847306090296
943967482619895808,413271829,sim,0.6883657927206278
943967482619895808,11333892,sim,0.3251554408040696
943967482619895808,632036332,sim,0.44033282168989457
943967482619895808,14138796,sim,0.6374480823070123
175018039,219275799,sim,0.44686160668934904
175018039,40433376,sim,0.5712870503977148
175018039,14321293,sim,0.38972235098520286
175018039,259798631,sim,0.5611672683885619
2711212681,2975134426,sim,0.7178994663535289
2711212681,4338452835,sim,0.3981398157830314
2711212681,555031989,sim,0.32745029251791896
2711212681,3131243261,sim,0.7686042499978317
2711212681,839338759330152453,sim,0.7253030970508627
2711212681,705539763349164032,sim,0.705749906890947
2711212681,846014785246367745,sim,0.7137095196409391
2711212681,875122621,sim,0.6734702462168916
969173723457695744,520860243,sim,0.7163480183016098
969173723457695744,252618624,sim,0.6519316346958209
834865037525258242,300404558,sim,0.933190109314351
8029062,2160485952,sim,0.5088647891713229
8029062,151395064,sim,0.3401164041587235
1311225531799670785,912696054998585344,sim,0.36417878557185407
1311225531799670785,89736834,sim,0.5383138264205032
1276450884990492676,15571887,sim,0.3320845596076531
14727078,926288949798211590,sim,0.3886335690838922
14727078,420609926,sim,0.4446280311321142
14727078,1246407354905739265,sim,0.5080282504370311
14727078,81097544,sim,0.9044898809824323
14727078,15096261,sim,0.852885851006182
14727078,2160485952,sim,0.5004534574907308
14727078,2982660196,sim,0.9328213751932759
14727078,1158382346309197826,sim,0.8660358694667666
14727078,14183576,sim,0.3343353717432626
14727078,114463650,sim,0.672805183752294
14727078,775280798891114496,sim,0.8490022817052835
14727078,4436094861,sim,0.4631513300447567
14727078,293245682,sim,0.8917899292032444
14727078,1469421637,sim,0.4759872125541427
14727078,534255106,sim,0.5938307299476702
14727078,105845892,sim,0.7596607910593094
14727078,14321293,sim,0.5943370815413486
14727078,159190687,sim,0.7236295249671498
14727078,15376357,sim,0.5802477718696265
14727078,725622293402124289,sim,0.46481121892448274
14727078,1278692356980703233,sim,0.9031361507461895
14727078,413271829,sim,0.7204119591441268
14727078,11333892,sim,0.36784155326090906
14727078,632036332,sim,0.4706974202905524
14727078,14138796,sim,0.7587238401449969
1168968080690749441,380837259,sim,0.4585260421141268
1168968080690749441,191781601,sim,0.42660571753240495
22122582,712230163694678017,sim,0.599323703987149
22122582,23315228,sim,0.683457531479944
926288949798211590,81097544,sim,0.3863890269707916
926288949798211590,15096261,sim,0.35939824525574554
926288949798211590,2982660196,sim,0.3838279440269007
926288949798211590,1158382346309197826,sim,0.36053185304645763
926288949798211590,775280798891114496,sim,0.3666934721049387
926288949798211590,293245682,sim,0.37556295681052143
926288949798211590,105845892,sim,0.34568201658754527
926288949798211590,1278692356980703233,sim,0.43192642363576567
178798604,872260459,sim,0.4805787370284953
178798604,149120416,sim,0.7178746332634587
178798604,455851774,sim,0.5086657823118937
178798604,14465315,sim,0.6647108339248834
555879770,442843586,sim,0.39634347934993447
555879770,298012429,sim,0.7265011667212562
37924665,2839596531,sim,0.4483397375399002
705025441,725854729,sim,0.5461775745535
705025441,177304862,sim,0.74322945801057
705025441,288269560,sim,0.5943444887031891
2975134426,3131243261,sim,0.5795343904615136
2975134426,839338759330152453,sim,0.544899125340753
2975134426,705539763349164032,sim,0.47259301006902604
2975134426,846014785246367745,sim,0.4549640471663833
2975134426,875122621,sim,0.845865875817495
420609926,81097544,sim,0.44459467621794857
420609926,15096261,sim,0.4241814331427137
420609926,2982660196,sim,0.4492726036467226
420609926,1158382346309197826,sim,0.4211372681311783
420609926,114463650,sim,0.4252591606777519
420609926,775280798891114496,sim,0.4261442993398767
420609926,293245682,sim,0.44269983026790843
420609926,105845892,sim,0.37299733392304046
420609926,159190687,sim,0.3579446923502952
420609926,1278692356980703233,sim,0.43025128905479626
420609926,413271829,sim,0.34744953429809866
420609926,11333892,sim,0.4664867379542703
420609926,14138796,sim,0.3732756963890913
1246407354905739265,81097544,sim,0.4722771042149748
1246407354905739265,15096261,sim,0.47112063865922077
1246407354905739265,2982660196,sim,0.5035878317288068
1246407354905739265,1158382346309197826,sim,0.4460763037476037
1246407354905739265,114463650,sim,0.4015240181896061
1246407354905739265,775280798891114496,sim,0.473366335714608
1246407354905739265,293245682,sim,0.471446309615391
1246407354905739265,105845892,sim,0.41357943413552206
1246407354905739265,159190687,sim,0.3749472977202041
1246407354905739265,15376357,sim,0.32607347330089087
1246407354905739265,1278692356980703233,sim,0.47101027517318556
1246407354905739265,413271829,sim,0.38681414662914404
1246407354905739265,14138796,sim,0.44321220138390116
81097544,15096261,sim,0.8243152638626814
81097544,2160485952,sim,0.44180887950449244
81097544,2982660196,sim,0.9416055516008291
81097544,1158382346309197826,sim,0.8959221529553341
81097544,14183576,sim,0.3378717057637894
81097544,114463650,sim,0.684673890602208
81097544,775280798891114496,sim,0.8956465363048108
81097544,4436094861,sim,0.46369728923306014
81097544,293245682,sim,0.9166087796599964
81097544,1469421637,sim,0.49549264994392545
81097544,534255106,sim,0.37046618538982595
81097544,105845892,sim,0.8110823749036554
81097544,14321293,sim,0.5408765491909122
81097544,159190687,sim,0.7615119065852287
81097544,15376357,sim,0.5986961722643843
81097544,725622293402124289,sim,0.47042761040467795
81097544,1278692356980703233,sim,0.8753457501354407
81097544,413271829,sim,0.7368328040647896
81097544,11333892,sim,0.3469027415794377
81097544,632036332,sim,0.48432685457905456
81097544,14138796,sim,0.733490353949663
1069481784864174080,24224194,sim,0.5221542248519442
1069481784864174080,1272279554,sim,0.7177259921221233
1069481784864174080,3214215129,sim,0.3606729970022651
4338452835,3131243261,sim,0.46775840790916745
4338452835,839338759330152453,sim,0.4893142983222119
4338452835,705539763349164032,sim,0.3639555696574327
4338452835,846014785246367745,sim,0.3532716029987037
27286910,1685497208,sim,0.8726505775942179
1239965460176633858,16143105,sim,0.5777899487997238
872260459,455851774,sim,0.756283372576786
872260459,725622293402124289,sim,0.6159191607752798
872260459,14465315,sim,0.47668601666122495
257912371,119160803,sim,0.4762157577760918
15096261,2160485952,sim,0.4155275470901609
15096261,2982660196,sim,0.8510726399364462
15096261,1158382346309197826,sim,0.8104093978708693
15096261,114463650,sim,0.6163799757057015
15096261,775280798891114496,sim,0.7857741418127318
15096261,4436094861,sim,0.41804563116903404
15096261,293245682,sim,0.8383855416401994
15096261,1469421637,sim,0.43667562681782124
15096261,534255106,sim,0.32631092715041804
15096261,105845892,sim,0.6684575182027316
15096261,14321293,sim,0.5131243535189379
15096261,159190687,sim,0.6990206803633137
15096261,15376357,sim,0.5225060552732593
15096261,725622293402124289,sim,0.4199200491362195
15096261,1278692356980703233,sim,0.8173197873114213
15096261,413271829,sim,0.676444013882074
15096261,11333892,sim,0.3730715944033631
15096261,632036332,sim,0.4736174337825674
15096261,14138796,sim,0.6613761439803577
725854729,177304862,sim,0.7017373201451663
725854729,288269560,sim,0.4111176194379455
1127563141,1138041196352139264,sim,0.7612361845125277
16558108,14321293,sim,0.621064836673389
17760882,26989309,sim,0.6190500091690939
1381505906,1088089771631669248,sim,0.3846331961337952
1217557535814754305,24689052,sim,0.5617486615026738
2160485952,2982660196,sim,0.4696424126094974
2160485952,1158382346309197826,sim,0.4144713013878175
2160485952,114463650,sim,0.35584044399357495
2160485952,775280798891114496,sim,0.4263194785904222
2160485952,293245682,sim,0.4280195901804834
2160485952,105845892,sim,0.3740268074193484
2160485952,159190687,sim,0.37304613930710206
2160485952,1278692356980703233,sim,0.4338853144819841
2160485952,413271829,sim,0.3497227078383026
2160485952,14138796,sim,0.3764957694349186
535800732,255166755,sim,0.46880892512994915
535800732,413271829,sim,0.4600727052697753
796008597268418560,112745661,sim,0.5788316476490732
796008597268418560,339842145,sim,0.38147013125326895
255166755,19301118,sim,0.37953535315897924
255166755,413271829,sim,0.4953438195744451
177304862,288269560,sim,0.7109777431364623
2982660196,1158382346309197826,sim,0.8892227132701198
2982660196,14183576,sim,0.33435274868086334
2982660196,114463650,sim,0.6892164506511907
2982660196,775280798891114496,sim,0.8934436992016666
2982660196,4436094861,sim,0.47200568270121684
2982660196,293245682,sim,0.9145333857652905
2982660196,1469421637,sim,0.4955156128422656
2982660196,534255106,sim,0.6066476550279847
2982660196,105845892,sim,0.8055082091166565
2982660196,14321293,sim,0.5568427931672132
2982660196,159190687,sim,0.7462536060380531
2982660196,15376357,sim,0.6063656583129491
2982660196,725622293402124289,sim,0.46755073062140895
2982660196,1278692356980703233,sim,0.8958585130463584
2982660196,413271829,sim,0.7247656523181201
2982660196,11333892,sim,0.3641129696748748
2982660196,632036332,sim,0.48477939797574404
2982660196,14138796,sim,0.7889342531925262
151395064,1350441126,sim,0.3259679306552604
1158382346309197826,114463650,sim,0.6462204126726323
1158382346309197826,775280798891114496,sim,0.8301404373902258
1158382346309197826,4436094861,sim,0.43528212022380985
1158382346309197826,293245682,sim,0.9289769188427959
1158382346309197826,1469421637,sim,0.5016658096581598
1158382346309197826,105845892,sim,0.719326706096177
1158382346309197826,14321293,sim,0.510811105839425
1158382346309197826,159190687,sim,0.7367089509136643
1158382346309197826,15376357,sim,0.5442059904589701
1158382346309197826,725622293402124289,sim,0.43802266947873403
1158382346309197826,1278692356980703233,sim,0.8497729897670964
1158382346309197826,413271829,sim,0.7000608486356095
1158382346309197826,11333892,sim,0.34415626532222715
1158382346309197826,632036332,sim,0.4717276294541518
1158382346309197826,14138796,sim,0.681322785909043
555031989,3131243261,sim,0.40100190055654267
555031989,839338759330152453,sim,0.39101608661681736
555031989,705539763349164032,sim,0.38650208454016194
555031989,846014785246367745,sim,0.42676303095204104
14183576,293245682,sim,0.3262745447996178
14183576,11333892,sim,0.34336552853804614
712230163694678017,23315228,sim,0.3648230248198567
52017609,2207344274,sim,0.7930127521694638
204473306,912696054998585344,sim,0.35202761949537326
114463650,775280798891114496,sim,0.6593012222153588
114463650,4436094861,sim,0.35144490815841667
114463650,293245682,sim,0.6629478939668103
114463650,1469421637,sim,0.36512215010735605
114463650,105845892,sim,0.5834073662767514
114463650,14321293,sim,0.4048710318903696
114463650,159190687,sim,0.5408153027582387
114463650,15376357,sim,0.44727723624062704
114463650,725622293402124289,sim,0.35009198248034695
114463650,1278692356980703233,sim,0.6684268355357643
114463650,413271829,sim,0.5231334250670527
114463650,11333892,sim,0.35882348991374297
114463650,632036332,sim,0.38159207807499956
114463650,14138796,sim,0.5489662314732076
3131243261,839338759330152453,sim,0.8220125640958404
3131243261,705539763349164032,sim,0.7469383569786051
3131243261,846014785246367745,sim,0.748205443330291
3131243261,3429955204,sim,0.4971522872604627
3131243261,875122621,sim,0.5336294255531995
40433376,14321293,sim,0.4435193038871792
40433376,259798631,sim,0.6596454934988322
458647237,152030226,sim,0.35511434422413
28895498,51028081,sim,0.5102339724932679
520860243,252618624,sim,0.9370098462087438
790320422235566080,7833122,sim,0.3842385057768391
149120416,455851774,sim,0.3821167473794996
149120416,14465315,sim,0.36356391590618964
3251759104,18741724,sim,0.6096224433555155
839338759330152453,705539763349164032,sim,0.6249541561842389
839338759330152453,846014785246367745,sim,0.6479995662517171
839338759330152453,3429955204,sim,0.4761456182009562
839338759330152453,875122621,sim,0.5319406436778695
775280798891114496,4436094861,sim,0.44029038345640564
775280798891114496,293245682,sim,0.8621710230313541
775280798891114496,1469421637,sim,0.4665770924632119
775280798891114496,105845892,sim,0.7324107107676725
775280798891114496,14321293,sim,0.5201189613433884
775280798891114496,159190687,sim,0.6968731476445666
775280798891114496,15376357,sim,0.5760895374102302
775280798891114496,725622293402124289,sim,0.4450479223299929
775280798891114496,1278692356980703233,sim,0.8376735678931865
775280798891114496,413271829,sim,0.66998157480362
775280798891114496,11333892,sim,0.3259831863457791
775280798891114496,632036332,sim,0.461964892002261
775280798891114496,14138796,sim,0.7040552504977291
24224194,1272279554,sim,0.3745182350072665
24224194,3214215129,sim,0.8734517015092794
247206957,83567424,sim,0.596874679773987
4436094861,293245682,sim,0.4481001980792431
4436094861,105845892,sim,0.36952118250664706
4436094861,14321293,sim,0.3317035157096877
4436094861,159190687,sim,0.37404687350059734
4436094861,1278692356980703233,sim,0.43560306223883705
4436094861,413271829,sim,0.34673247552022296
4436094861,14138796,sim,0.3414739890935854
705539763349164032,846014785246367745,sim,0.907422036755029
705539763349164032,875122621,sim,0.4643803346784709
846014785246367745,875122621,sim,0.4314930779632034
120257330,1207268858593193990,sim,0.616347097092552
455851774,14321293,sim,0.36106629178233346
455851774,725622293402124289,sim,0.6364703493767403
455851774,14465315,sim,0.4916523462219216
293245682,1469421637,sim,0.4709734753081745
293245682,534255106,sim,0.3867343016865933
293245682,105845892,sim,0.7555764711693367
293245682,14321293,sim,0.5244469892851201
293245682,159190687,sim,0.7504338647191223
293245682,15376357,sim,0.5692342687221608
293245682,725622293402124289,sim,0.45028557351398535
293245682,1278692356980703233,sim,0.8704519951616927
293245682,413271829,sim,0.725817089179788
293245682,11333892,sim,0.3656893344815189
293245682,632036332,sim,0.5222599537222832
293245682,14138796,sim,0.7200831097491543
417856150,2784392406,sim,0.6106518468245405
1469421637,105845892,sim,0.4174874544796374
1469421637,159190687,sim,0.3958194319945034
1469421637,1278692356980703233,sim,0.46467401536767683
1469421637,413271829,sim,0.3983843533805166
1469421637,14138796,sim,0.47343790702599836
534255106,105845892,sim,0.4674489793701822
534255106,1278692356980703233,sim,0.47559355625413285
534255106,14138796,sim,0.4271727358158508
21283221,317144532,sim,0.4219342515721866
105845892,14321293,sim,0.44345819997296704
105845892,159190687,sim,0.6246609696544815
105845892,15376357,sim,0.5254436737103697
105845892,725622293402124289,sim,0.3735140278115761
105845892,1278692356980703233,sim,0.7263350549142701
105845892,413271829,sim,0.601612323621658
105845892,632036332,sim,0.3877118819383278
105845892,14138796,sim,0.6672655188367159
14321293,159190687,sim,0.42892065313774413
14321293,15376357,sim,0.34850730012456627
14321293,725622293402124289,sim,0.47045065048054063
14321293,1278692356980703233,sim,0.5476707865974005
14321293,413271829,sim,0.467231041140837
14321293,14465315,sim,0.48730434598125566
14321293,259798631,sim,0.4210394491731716
14321293,14138796,sim,0.43214946741974175
159190687,15376357,sim,0.46294113033403794
159190687,725622293402124289,sim,0.37940441592551105
159190687,1278692356980703233,sim,0.7072698961927405
159190687,413271829,sim,0.5718166965446854
159190687,632036332,sim,0.49431352341339674
159190687,14138796,sim,0.5687616624068093
89736834,1169284026185764864,sim,0.6013307299837738
15376357,1278692356980703233,sim,0.5633393037718766
15376357,413271829,sim,0.460023420943422
15376357,14138796,sim,0.5013279915487769
725622293402124289,1278692356980703233,sim,0.4349049270665533
725622293402124289,413271829,sim,0.3502320614577947
725622293402124289,14465315,sim,0.382682430267023
725622293402124289,14138796,sim,0.34516377165181045
1272279554,3214215129,sim,0.33623631103904467
1278692356980703233,413271829,sim,0.6947590664539637
1278692356980703233,11333892,sim,0.35677207737942956
1278692356980703233,632036332,sim,0.4855252211976568
1278692356980703233,14138796,sim,0.7039422760048454
413271829,632036332,sim,0.38320037037911936
413271829,14138796,sim,0.5898143665221943
632036332,14138796,sim,0.38094226399433445
